name,category,unit,manufacturer,stock,min_stock,price,expiry_date,batch_number,description,is_active
"Alk - Abbocath 22 GEA",MEDICAL_BHP,Pcs,Healthcare,101,,,,,,1
"Alk - Abbocath No. 18 GEA",MEDICAL_BHP,Pcs,GEA,26,,,,,,1
"Alk - Abbocath No. 20 GEA",MEDICAL_BHP,Pcs,Healthcare,43,,,,,,1
"Alk - Abbocath No.20 Terumo",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Abbocath No.22 Cosmomed",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Abbocath No.22 Terumo",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk- Abbocath No.24 Gea",MEDICAL_BHP,Pcs,Healthcare,44,,,,,,1
"Alk- Abbocath No.26 Gea",MEDICAL_BHP,Pcs,Healthcare,0,,,,,,1
"Alk-Ambubag Pediatric/Anak",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk- Benang 10-0 Dafilon",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk- Benang 10-0 Ethilon (u7003)",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk- Benang 10-0 Fssb Nylon Black",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk- Benang 8-0 Pga",MEDICAL_BHP,Pcs,Atramat,8,,,,,,1
"Alk - Benang 8-0 Polyglycolide (v173)",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Benang Aurolon Nylon Black 10-0",MEDICAL_BHP,Pcs,Aurolab,4,,,,,,1
"Alk - Benang Prolene 6/0 (jw523)",MEDICAL_BHP,Pcs,Ethicon,11,,,,,,1
"Alk - Benang Silk 7-0",MEDICAL_BHP,Pcs,Mani,4,,,,,,1
"Alk- Benang Vicryl 5/0 Jw9505t",MEDICAL_BHP,Pcs,Ethicon,9,,,,,,1
"Alk - Benang Vicryl 8/0 JJ548G",MEDICAL_BHP,Pcs,Ethicon,15,,,,,,1
"Alk - Blade 11",MEDICAL_BHP,Pcs,Braun/onemed,109,,,,,,1
"Alk- Blade 15",MEDICAL_BHP,Pcs,Braun,64,,,,,,1
"Alk - Blood Glucose Test Strip Labchoice Decabio",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Blood Glucose Test Strips",MEDICAL_BHP,Pcs,Sinocare,550,,,,,,1
"Alk - Care + Frame Style Transparent Film",MEDICAL_BHP,Pcs,Winner,56,,,,,,1
"Alk - Catheter No. 22 With Walve & Wings",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Alk - CTR",MEDICAL_BHP,Pcs,Aurolab,8,,,,,,1
"Alk- Dop Mata",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Elektroda",MEDICAL_BHP,Pcs,Onemed,68,,,,,,1
"Alk-ETT No.4,5 Cuff",MEDICAL_BHP,Pcs,"Forsch medical",3,,,,,,1
"Alk-ETT No.4 Cuff",MEDICAL_BHP,Pcs,Onehealth,17,,,,,,1
"Alk - ETT No.7",MEDICAL_BHP,Pcs,"Forsch medical",12,,,,,,1
"Alk-Face Mask Silicone No.1 (Sungkup)",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk-Face Mask Silicone No.2 (Sungkup)",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk- Gamex Sterile 7.0",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Alk - Glove Maxter 6,5",MEDICAL_BHP,Pcs,Onehealth,135,,,,,,1
"Alk - Glove Maxter 7,5",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Alk - Glove Maxter 8.0",MEDICAL_BHP,Pcs,Onehealth,244,,,,,,1
"Alk - Glove Motex 7",MEDICAL_BHP,Pcs,Onehealth,91,,,,,,1
"Alk - Glove Motex 7,5",MEDICAL_BHP,Pcs,Onehealth,197,,,,,,1
"Alk-Guedel No.7cm (Putih)",MEDICAL_BHP,Pcs,Onehealth,6,,,,,,1
"Alk- Indikator Steril 2,5cm X 50m",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Indikator Steril 3/4 (19mm X 50m)",MEDICAL_BHP,Pcs,,6,,,,,,1
"Alk - Infuset Adult(easy Fusion Vented)",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Infuset Makro Terumo",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Infus Set",MEDICAL_BHP,Pcs,"Health care",36,,,,,,1
"Alk- Infus Set Gea (adult)",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Iris Care",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Kaca Mata Pelindung Biru",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Kaca Mata Pelindung Putih",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Kain Kasa Swallow 100 X 80",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Kasa Gulung 80x80 Swalow",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Masker Karet",MEDICAL_BHP,Pcs,"One care",500,,,,,,1
"Alk - Masker Nebulizer",MEDICAL_BHP,Pcs,Anzon,26,,,,,,1
"Alk-Masker Non Rebreathing Pediatric/Anak",MEDICAL_BHP,Pcs,GEA,0,,,,,,1
"Alk - Masker Oksigen Dewasa Non Rebreath",MEDICAL_BHP,Pcs,GEA,14,,,,,,1
"Alk - Masker Tali",MEDICAL_BHP,Pcs,"Sinar Ogan",15,,,,,,1
"Alk - Mediglove Surgical 6,5",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Mediglove Surgical 7",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Micropore 1 Inci 3m",MEDICAL_BHP,Pcs,Conkopore,6,,,,,,1
"Alk-Nasal Oxygen Cannula Anak",MEDICAL_BHP,Pcs,Anzon,5,,,,,,1
"Alk - Nasal Oxygen Canula (adult)",MEDICAL_BHP,Pcs,Anzon,37,,,,,,1
"Alk - Needle 23 Onemed",MEDICAL_BHP,Pcs,Onehealth,146,,,,,,1
"Alk - Needle 25 Onemed",MEDICAL_BHP,Pcs,Onehealth,100,,,,,,1
"Alk - needle 27 onemed",MEDICAL_BHP,Pcs,Onehealth,206,,,,,,1
"Alk - Needle 30G Terumo",MEDICAL_BHP,Pcs,Onehealth,216,,,,,,1
"Alk - Needle Terumo 18g X 1 1/2",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Needle Terumo 23g X 1 1/4",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Needle Terumo 26g X 1/2",MEDICAL_BHP,Pcs,,105,,,,,,1
"Alk - Needle Terumo 27g X 1/2",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Nurse Cap Onemed",MEDICAL_BHP,Pcs,Onehealth,2400,,,,,,1
"Alk - Nurse Cap Remedi",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Nurse Cup Sinar Ogan",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alkohol 70% 1liter",MEDICAL_BHP,Pcs,,0,,,,,,1
"alkohol Swab",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alkohol Swabs",MEDICAL_BHP,Pcs,Onemed,55,,,,,,1
"Alk - Sarung Tangan Non Steril L",MEDICAL_BHP,Pcs,Onehealth,900,,,,,,1
"Alk - Sarung Tangan Non Steril Size M",MEDICAL_BHP,Pcs,Onehealth,900,,,,,,1
"Alk - Sarung Tangan Non Steril Size S",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Alk - Sarung Tangan Steril No 7,5",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Selang Extension Onemed 150 cm",MEDICAL_BHP,Pcs,Onehealth,15,,,,,,1
"Alk - Selang Nasal Dewasa",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Spuit 10 Cc Onemed",MEDICAL_BHP,Pcs,Onehealth,160,,,,,,1
"Alk - Spuit 1 Cc Onemed",MEDICAL_BHP,Pcs,Onehealth,211,,,,,,1
"Alk - Spuit 3 Cc Onemed",MEDICAL_BHP,Pcs,Onehealth,308,,,,,,1
"Alk - Spuit 50 cc Syringe Pump",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Spuit 50 cc Terumo",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Spuit 5 Cc Onemed",MEDICAL_BHP,Pcs,Onehealth,320,,,,,,1
"Alk-Suction Catheter No.10",MEDICAL_BHP,Pcs,Onehealth,6,,,,,,1
"Alk -tegaderm Film",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Threeway",MEDICAL_BHP,Pcs,Onehealth,63,,,,,,1
"Alk - Tranfusion Set/blood Set",MEDICAL_BHP,Pcs,Onehealth,38,,,,,,1
"Baycide Ready To Use 5 L",MEDICAL_BHP,Pcs,Onehealth,4,,,,,,1
"Baymedika Enzymatic Detergent 1 L",MEDICAL_BHP,Pcs,,6,,,,,,1
"Benang Aurolon Nylon 8-0",MEDICAL_BHP,Pcs,,11,,,,,,1
"Benang Proline 3.0",MEDICAL_BHP,Pcs,,0,,,,,,1
"benang proline 4.0",MEDICAL_BHP,Pcs,,0,,,,,,1
"Benang Vicryl 4.0",MEDICAL_BHP,Pcs,,0,,,,,,1
"Benang Vicryl 6",MEDICAL_BHP,Pcs,,21,,,,,,1
"Citomed Antiseptic Handscrub 5L",MEDICAL_BHP,Pcs,,0,,,,,,1
"Citomed Handsanitizer Liquid 500 Ml",MEDICAL_BHP,Pcs,,0,,,,,,1
"Cotton Bud Non Steril",MEDICAL_BHP,Pcs,Selection,1100,,,,,,1
"Cotton Swab Steril M",MEDICAL_BHP,Pcs,Onemed,35,,,,,,1
"Cresent Knife",MEDICAL_BHP,Pcs,,0,,,,,,1
"Decapore 2.5 Cm X 9,1 M",MEDICAL_BHP,Pcs,,0,,,,,,1
"Dermaplast Plaster",MEDICAL_BHP,Pcs,Onehealth,400,,,,,,1
"Eye Drape BPJS",MEDICAL_BHP,Pcs,,0,,,,,,1
"Handrub Antiseptic Medika",MEDICAL_BHP,Pcs,,23,,,,,,1
"Hand Sanitizer - Sos",MEDICAL_BHP,Pcs,,0,,,,,,1
"Hand Sanitizer- Sos 500 Ml",MEDICAL_BHP,Pcs,,0,,,,,,1
"Handsanitizer Spray 100 ml",MEDICAL_BHP,Pcs,,0,,,,,,1
"Hand Sanitizer-stefanol 500ml",MEDICAL_BHP,Pcs,,0,,,,,,1
"Hypafix 10 cm x 5 m",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Id Band Blue Dewasa",MEDICAL_BHP,Pcs,Onehealth,200,,,,,,1
"Id Band Pink Dewasa",MEDICAL_BHP,Pcs,Onehealth,200,,,,,,1
"Id Band Red Dewasa",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Id Band Yellow Dewasa",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Infus Set Anak",MEDICAL_BHP,Pcs,Onehealth,2,,,,,,1
"Infus Set Pediatric Terumo",MEDICAL_BHP,Pcs,,0,,,,,,1
"KACA MATA OPERASI BPJS",MEDICAL_BHP,Pcs,Onehealth,237,,,,,,1
"Kaca Mata Pelindung Hitam",MEDICAL_BHP,Pcs,,0,,,,,,1
"Kaca Mata Pelindung Putih Orange",MEDICAL_BHP,Pcs,,0,,,,,,1
"Kapas Pembalut 1 kg",MEDICAL_BHP,Pcs,,8,,,,,,1
"Kary Uni",MEDICAL_BHP,Pcs,,0,,,,,,1
"kasa hydrofil 100 yard x 80 cm indohusada",MEDICAL_BHP,Pcs,Indohusada,1,,,,,,1
"Nald Insulin",MEDICAL_BHP,Pcs,Onehealth,12,,,,,,1
"nurse cup M-i",MEDICAL_BHP,Pcs,,0,,,,,,1
"Plastik Limbah Infeksius 100 x 120",MEDICAL_BHP,Pcs,,15,,,,,,1
"Plesterin Bulat",MEDICAL_BHP,Pcs,,0,,,,,,1
"Safety Box 12,5 L",MEDICAL_BHP,Pcs,,0,,,,,,1
"Safety Box 5 L",MEDICAL_BHP,Pcs,,8,,,,,,1
"sarung tangan steril one health 7.5",MEDICAL_BHP,Pcs,,0,,,,,,1
"schirmer test",MEDICAL_BHP,Pcs,Optitech,20,,,,,,1
"spuit 20 cc",MEDICAL_BHP,Pcs,,0,,,,,,1
"Threeway Onemed",MEDICAL_BHP,Pcs,,0,,,,,,1
"Ultrasonic Gel",MEDICAL_BHP,Pcs,Onehealth,8,,,,,,1
